id,city,lat,long,price_cleaned,bedrooms_num,bathrooms_num,luxury_ratio,premium_amenities,has_parking,has_view,has_balcony,neighbor_count,avg_area_rating,avg_location_rating,area_demand_volume,predicted_roi
14315,Berkshire,51.395412,-0.7457727,250000,1,1.0,1.0,0,0,0,0,31,4.819999999999999,4.858064559198195,1514,0.37181233474018394
16864,Moray,57.675217,-2.9713717,179000,4,2.0,0.5,0,0,0,0,3,4.62,4.900000095367432,145,0.3718086831404781
16832,Moray,57.67688,-2.9690495,259000,4,2.0,0.5,0,0,0,0,3,4.62,4.900000095367432,145,0.3718086831404781
13371,Lincolnshire,52.980915,-0.4523156,525000,5,3.0,0.6,0,0,0,0,0,0.0,0.0,0,0.37179537074791713
14974,Isle of Anglesey,53.205753,-4.387514,475000,3,2.0,0.6666666666666666,0,0,0,0,14,4.33,4.335714340209961,469,0.3717853652130276
14742,Cambridgeshire,52.217697,-0.2604869,75000,2,1.0,0.5,0,0,0,0,8,4.8025,4.862500071525574,438,0.3717820254378625
14809,Cambridgeshire,52.226936,-0.2693332,400000,2,1.0,0.5,0,0,0,0,8,4.8025,4.862500071525574,438,0.3717820254378625
14722,Cambridgeshire,52.227036,-0.276202,230000,2,1.0,0.5,0,0,0,0,8,4.8025,4.862500071525574,438,0.3717820254378625
15850,Powys,52.695576,-3.102291,535000,3,2.0,0.6666666666666666,1,0,0,0,3,4.926666666666667,4.900000095367432,287,0.3717110339366962
15835,Powys,52.695576,-3.102291,350000,3,2.0,0.6666666666666666,1,0,0,0,3,4.926666666666667,4.900000095367432,287,0.3717110339366962
14136,Fife,56.04767,-3.4157846,525000,5,3.0,0.6,0,0,0,0,8,4.2625,4.212500095367432,243,0.37170547265633186
14139,Fife,56.04767,-3.4157846,525000,5,3.0,0.6,0,0,0,0,8,4.2625,4.212500095367432,243,0.37170547265633186
14141,Fife,56.04767,-3.4157846,525000,5,3.0,0.6,0,0,0,0,8,4.2625,4.212500095367432,243,0.37170547265633186
14137,Fife,56.04767,-3.4157846,525000,5,3.0,0.6,0,0,0,0,8,4.2625,4.212500095367432,243,0.37170547265633186
14140,Fife,56.04767,-3.4157846,525000,5,3.0,0.6,0,0,0,0,8,4.2625,4.212500095367432,243,0.37170547265633186
14138,Fife,56.04767,-3.4157846,525000,5,3.0,0.6,0,0,0,0,8,4.2625,4.212500095367432,243,0.37170547265633186
4393,Cheltenham,51.884624,-2.1262262,280000,2,1.0,0.5,0,0,0,1,121,4.471570247933884,4.511570296011681,5278,0.371701045806694
9570,Cardiff,51.527782,-3.212026,170000,2,1.0,0.5,0,0,0,0,114,4.723859649122807,4.708771952411585,5200,0.37165876319296903
9637,Isle of Wight,50.701504,-1.2952987,235000,2,2.0,1.0,0,0,0,1,27,4.358518518518519,4.366666723180701,1357,0.3716345437182688
3188,Middlesbrough,54.566757,-1.2460078,135000,3,2.0,0.6666666666666666,0,0,1,0,67,4.039402985074626,3.9880596844118035,1328,0.37162542813193444
20140,North Lincolnshire,53.646584,-0.6853558,245000,3,1.0,0.3333333333333333,0,0,0,0,2,4.885,4.950000047683716,78,0.37161937680696794
20297,North Lincolnshire,53.653343,-0.6829859,285000,3,1.0,0.3333333333333333,0,0,0,0,2,4.885,4.950000047683716,78,0.37161937680696794
22909,Freshwater East,51.649605,-4.862991,495000,4,2.0,0.5,0,0,1,0,38,4.277105263157895,4.344736889788979,1321,0.3715069828544545
